LOCATION,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,LOGICALS,SIM CARD,PHONES,VTU,MOMO ,DEVICE TOTAL,AIRTIME
ALAKAHIA,"48,340,300","32,639,000","1,218,700","41,500",0,"9,126,100","5,315,000","32,639,000"
OWERRI 2,"28,515,200","13,095,000","1,614,900","639,000","5,909,300","3,477,000","3,780,000","19,004,300"
ONITSHA 2,"26,856,400","18,804,800","1,334,200",0,"292,500","3,429,900","2,995,000","19,097,300"
AWKA,"38,549,890","22,070,050","2,377,200","1,451,000","4,916,690","3,614,950","4,120,000","26,986,740"
AIRPORT,"4,852,300","970,000","216,300","76,000",0,"2,710,000","880,000","970,000"
OKIGWE HUB,"5,073,950","400,000","621,600","61,000","2,478,750","1,007,600","505,000","2,878,750"
MBAITOLI,"3,852,800","2,276,000","891,800",0,0,"555,000","130,000","2,276,000"
IHIALA,"3,255,400","2,290,500","380,100",0,0,"489,800","95,000","2,290,500"
IMSU,"3,796,050","2,792,700","287,000","88,000",0,"483,350","145,000","2,792,700"
ALVAN 1,"3,077,900","2,227,200","123,200",0,0,"667,500","60,000","2,227,200"
NEKEDE,"3,143,500","2,168,100","394,800",0,0,"510,600","70,000","2,168,100"
STATE SEC,"1,758,800","1,457,600","69,300",0,4000,"227,900",0,"1,461,600"
UNIZIK 2,"753,900","291,600","138,600",0,"148,700",0,"175,000","440,300"
IMT,"1,770,780","1,538,700","28,700","63,000",0,"110,380","30,000","1,538,700"
IGWURITA,"1,879,600","1,167,400","263,200",0,0,"304,000","145,000","1,167,400"
OKIGWE C/POINT,"2,871,300","2,440,600",0,0,"250,200","180,500",0,"2,690,800"
ELELE,"2,157,500","1,495,200","186,200",0,0,"391,100","85,000","1,495,200"
ULI,"1,443,000","1,149,900","109,200",0,"6,400","177,500",0,"1,156,300"
OANDO,"1,154,400","919,500","89,600",0,"57,800","87,500",0,"977,300"
OKO,"1,171,400","786,600","34,300",0,"201,300","134,200","15,000","987,900"
UNIZIK 1,"2,697,600","1,605,300","250,600","45,000","20,000","621,700","155,000","1,625,300"
ULAKWOR,"2,156,200","1,537,600","94,500",0,"74,000","450,100",0,"1,611,600"
IGBARIAM,"957,850","595,900","148,400",0,"103,400","110,150",0,"699,300"
ALVAN 2,"773,550","573,900","40,600",0,0,"159,050",0,"573,900"
ESUT,"685,800","303,000",700,0,"332,100","50,000",0,"635,100"
UMUAGWO,"965,300","803,600","12,600",0,0,"149,100",0,"803,600"

